Date,Home Team,Home Score,Away Team,Away Score
2012-08-24,Windsor (Imperial),22,Affton,39
2012-08-24,Drexel with Miami (Amoret),54,Appleton City with Montrose,14
2012-08-24,Lutheran South,49,Bishop DuBourg,0
2012-08-24,Moberly,14,Blair Oaks,24
2012-08-24,Truman,14,Blue Springs South,47
2012-08-24,Orchard Farm,40,Bowling Green,7
2012-08-24,Crystal City,6,Brentwood,42
2012-08-24,Adrian,0,Butler,19
2012-08-24,Boonville,7,California,18
2012-08-24,Ritenour,60,Cardinal Ritter,12
2012-08-24,Webb City,44,Carl Junction,3
2012-08-24,Branson,7,Cassville,48
2012-08-24,University Academy Charter,6,Center,48
2012-08-24,John Burroughs,43,Central (Cape Girardeau),13
2012-08-24,Blue Springs,56,Central (St. Joseph),13
2012-08-24,Marshall,26,Chillicothe,25
2012-08-24,Lutheran North,27,Clayton,46
2012-08-24,Warsaw,7,Clinton,35
2012-08-24,Winfield,45,Clopton with Elsberry,14
2012-08-24,Skyline,40,Cole Camp,0
2012-08-24,Pacific,13,DeSoto with Kingston,26
2012-08-24,Miller Career Academy,34,Eldon,22
2012-08-24,Buffalo,14,Fair Grove,34
2012-08-24,Festus,16,Farmington,13
2012-08-24,Hallsville,40,Fayette,0
2012-08-24,Ft. Zumwalt East,34,Francis Howell Central,20
2012-08-24,Vianney,39,Francis Howell North,20
2012-08-24,St. Charles West,6,Ft. Zumwalt North,14
2012-08-24,Helias Catholic,37,Harrisonville,38
2012-08-24,Camdenton,12,Hillcrest,18
2012-08-24,Francis Howell,18,Holt,14
2012-08-24,Pierce City,54,Jasper,22
2012-08-24,John F. Kennedy,27,Jefferson (Festus),20
2012-08-24,McCluer North,6,Jefferson City,39
2012-08-24,Glendale,7,Joplin,50
2012-08-24,Lathrop,41,King City with Pattonsburg,0
2012-08-24,Southern Boone,22,Kirksville,51
2012-08-24,Pattonville,10,Kirkwood,38
2012-08-24,Eureka,14,Lafayette (Wildwood),35
2012-08-24,Concordia,6,Lafayette County,48
2012-08-24,Maryville,40,Lawson,0
2012-08-24,Raytown,14,Lee's Summit,45
2012-08-24,Hickman,40,Lee's Summit North,20
2012-08-24,Diamond,8,Liberal with Bronaugh,6
2012-08-24,Winnetonka,18,Liberty,27
2012-08-24,Parkway South,30,Lindbergh,19
2012-08-24,Principia,21,Lutheran St. Charles,27
2012-08-24,Central (New Madrid County),6,Malden,32
2012-08-24,Hogan Prep Academy Charter,57,Maysville,12
2012-08-24,Hazelwood East,12,McCluer,0
2012-08-24,Lamar,49,McDonald County,21
2012-08-24,Lafayette (St. Joseph),52,Mexico,16
2012-08-24,Clark County,36,Monroe City,7
