School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Valle Catholic,12.47,10.64,23.11,2,2,1
Midway,-0.97,12.65,11.68,9,1,2
Westran,4.86,4.7,9.56,3,5,3
Osceola,0.71,6.0,6.71,8,4,4
East Buchanan,14.73,-10.43,4.3,1,23,5
Penney,4.73,-1.55,3.18,4,11,6
Marionville,0.89,2.28,3.16,7,8,7
South Harrison,-4.2,4.68,0.47,12,6,8
Thayer,-7.7,7.48,-0.22,18,3,9
Marceline,-4.78,4.25,-0.53,13,7,10
Chaffee,2.39,-5.84,-3.45,6,16,11
Skyline,3.47,-7.53,-4.07,5,19,12
Salisbury,-7.71,0.19,-7.52,19,10,13
Jasper,-8.35,-3.44,-11.79,20,13,14
Crest Ridge,-12.88,0.26,-12.62,29,9,15
Drexel with Miami (Amoret),-6.77,-6.22,-12.99,16,18,16
South Shelby,-10.47,-4.88,-15.35,22,15,17
Mid-Buchanan,-12.6,-2.94,-15.54,27,12,18
Portageville,-11.56,-4.15,-15.71,26,14,19
West Platte,-5.2,-10.65,-15.84,14,24,20
Milan,-9.79,-6.16,-15.95,21,17,21
Concordia,-1.16,-14.9,-16.06,10,33,22
Polo,-3.65,-14.33,-17.98,11,32,23
Sacred Heart,-10.78,-8.12,-18.9,23,21,24
Adrian,-5.97,-13.01,-18.98,15,30,25
Cole Camp,-11.03,-11.22,-22.25,24,26,26
Lockwood with Golden City,-11.34,-12.94,-24.28,25,29,27
Maysville,-15.81,-12.16,-27.97,34,28,28
Cabool,-7.12,-21.1,-28.22,17,44,29
Tipton,-20.47,-9.17,-29.64,43,22,30
Gallatin,-14.13,-15.72,-29.84,30,35,31
Hayti,-19.53,-11.16,-30.69,40,25,32
St. Vincent,-17.7,-13.03,-30.73,37,31,33
Paris,-12.64,-21.21,-33.85,28,45,34
Pierce City,-22.41,-11.54,-33.94,47,27,35
Scotland County,-19.76,-15.29,-35.04,41,34,36
Louisiana,-15.16,-20.28,-35.44,31,42,37
Knox County,-18.37,-19.48,-37.85,38,41,38
McAuley Catholic,-15.36,-23.64,-39.01,32,46,39
Rich Hill with Hume,-21.49,-17.58,-39.07,45,38,40
Greenfield,-31.65,-8.09,-39.74,59,20,41
Miller,-15.71,-25.21,-40.93,33,50,42
Crystal City,-20.41,-20.61,-41.02,42,43,43
Putnam County,-25.05,-16.71,-41.76,51,37,44
Lone Jack,-26.71,-16.39,-43.1,53,36,45
Liberal with Bronaugh,-19.06,-25.02,-44.07,39,49,46
Albany,-27.11,-18.6,-45.7,54,39,47
Wellington-Napoleon,-16.66,-29.47,-46.13,35,55,48
North Platte,-27.75,-19.4,-47.15,55,40,49
Windsor,-22.69,-25.89,-48.58,48,52,50
Appleton City with Montrose,-23.98,-24.67,-48.65,49,48,51
Santa Fe,-17.26,-31.72,-48.98,36,58,52
Fayette,-22.1,-28.65,-50.74,46,54,53
Schuyler County,-29.13,-25.59,-54.73,57,51,54
King City with Pattonsburg,-25.5,-29.56,-55.06,52,56,55
Princeton with Mercer,-28.72,-27.56,-56.28,56,53,56
Slater,-21.01,-35.87,-56.88,44,60,57
Sweet Springs with Malta Bend,-34.46,-24.64,-59.11,61,47,58
Braymer,-29.56,-31.67,-61.23,58,57,59
Archie,-24.94,-37.38,-62.32,50,61,60
North Shelby,-32.71,-33.44,-66.15,60,59,61
Orrick,-39.79,-41.32,-81.1,63,62,62
Wentworth Military Academy,-39.0,-58.5,-97.5,62,63,63
