School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Blue Springs,40.04,39.52,79.56,1,1,1
Liberty,27.99,31.77,59.76,3,3,2
Lee's Summit,35.27,21.71,56.97,2,8,3
Rockhurst,22.61,32.11,54.71,8,2,4
Blue Springs South,20.88,28.37,49.25,10,5,5
Christian Brothers College,19.59,29.35,48.94,12,4,6
Francis Howell,22.61,24.69,47.3,9,6,7
Raymore-Peculiar,24.74,21.9,46.63,6,7,8
Rock Bridge,26.49,19.32,45.81,5,11,9
Hazelwood Central,27.46,16.42,43.88,4,18,10
Eureka,23.26,17.84,41.1,7,13,11
De Smet Jesuit,20.05,20.64,40.69,11,10,12
Jefferson City,18.63,17.33,35.96,14,16,13
Ft. Zumwalt West,16.34,18.39,34.73,16,12,14
Hickman,11.99,20.71,32.69,21,9,15
Francis Howell Central,18.13,14.43,32.56,15,20,16
Lafayette (Wildwood),12.49,17.56,30.05,20,14,17
Lee's Summit North,12.55,17.49,30.04,19,15,18
Ritenour,15.33,12.15,27.48,17,22,19
Pattonville,19.49,7.74,27.23,13,26,20
SLUH,11.57,12.99,24.56,22,21,21
Lindbergh,11.55,10.12,21.67,23,24,22
Hazelwood West,3.38,16.9,20.27,29,17,23
Joplin,13.69,5.72,19.41,18,28,24
Timberland,2.57,16.4,18.97,30,19,25
Oakville,8.66,9.68,18.34,26,25,26
Francis Howell North,10.65,4.97,15.62,24,29,27
Parkway South,4.96,10.44,15.39,27,23,28
Mehlville,8.7,3.21,11.92,25,30,29
Marquette,-0.71,6.65,5.94,31,27,30
Troy Buchanan,3.89,-2.96,0.93,28,32,31
Northwest (Cedar Hill),-9.34,0.86,-8.49,32,31,32
